symbol,name,last_sale,market_cap,ipo_year,sector,sub_industry,nasdaq_url
SKYY,First Trust ISE Cloud Computing Index Fund,33.9,594950000.0,,,,http://www.nasdaq.com/symbol/skyy
FJP,First Trust Japan AlphaDEX Fund,47.9572,47960000.0,,,,http://www.nasdaq.com/symbol/fjp
FEX,First Trust Large Cap Core AlphaDEX Fund,47.52,1360000000.0,,,,http://www.nasdaq.com/symbol/fex
FTC,First Trust Large Cap Growth AlphaDEX Fund,48.41,590600000.0,,,,http://www.nasdaq.com/symbol/ftc
FTA,First Trust Large Cap Value AlphaDEX Fund,45.32,858810000.0,,,,http://www.nasdaq.com/symbol/fta
FLN,First Trust Latin America AlphaDEX Fund,17.68,110500000.0,,,,http://www.nasdaq.com/symbol/fln
FTLB,First Trust Low Beta Income ETF,20,4000000.0,,,,http://www.nasdaq.com/symbol/ftlb
LMBS,First Trust Low Duration Opportunities ETF,52.705,284610000.0,,,,http://www.nasdaq.com/symbol/lmbs
FMB,First Trust Managed Municipal ETF,52.0001,80600000.0,,,,http://www.nasdaq.com/symbol/fmb
FMK,First Trust Mega Cap AlphaDEX Fund,27.54,15150000.0,,,,http://www.nasdaq.com/symbol/fmk
FNX,First Trust Mid Cap Core AlphaDEX Fund,54.0701,646140000.0,,,,http://www.nasdaq.com/symbol/fnx
FNY,First Trust Mid Cap Growth AlphaDEX Fund,30.28,93870000.0,,,,http://www.nasdaq.com/symbol/fny
FNK,First Trust Mid Cap Value AlphaDEX Fund,31.5901,45810000.0,,,,http://www.nasdaq.com/symbol/fnk
FAD,First Trust Multi Cap Growth AlphaDEX Fund,51.43,82290000.0,,,,http://www.nasdaq.com/symbol/fad
FAB,First Trust Multi Cap Value AlphaDEX Fund,48.52,111600000.0,,,,http://www.nasdaq.com/symbol/fab
MDIV,First Trust Multi-Asset Diversified Income Index Fund,18.41,853300000.0,,,,http://www.nasdaq.com/symbol/mdiv
MCEF,First Trust Municipal CEF Income Opportunity ETF,18.4903,1850000.0,,,,http://www.nasdaq.com/symbol/mcef
