symbol,full_name,sector,sub_industry,date_first_added,cik
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,2011-12-19,908255
BXP,Boston Properties,Real Estate,REITs,,1037540
BSX,Boston Scientific,Health Care,Health Care Equipment,,885725
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,,14272
AVGO,Broadcom,Information Technology,Semiconductors,2014-05-08,1441634
BF-B,Brown-Forman Corporation,Consumer Staples,Distillers & Vintners,1982-10-31,14693
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,,1043277
CA,"CA, Inc.",Information Technology,Systems Software,1987-07-31,356028
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,2008-06-23,858470
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,,16732
COF,Capital One Financial,Financials,Consumer Finance,,927628
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,,721371
HSIC,Henry Schein,Health Care,Health Care Distributors,2015-03-17,1000228
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,2010-06-28,1170010
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,815097
CAT,Caterpillar Inc.,Industrials,Construction & Farm Machinery & Heavy Trucks,,18230
CBG,CBRE Group,Real Estate,Real Estate Services,,1138118
CBS,CBS Corp.,Consumer Discretionary,Broadcasting & Cable TV,1994-09-01,813828
CELG,Celgene Corp.,Health Care,Biotechnology,,816284
CNC,Centene Corporation,Health Care,Managed Health Care,1916-03-30,1071739
CNP,CenterPoint Energy,Utilities,MultiUtilities,1985-07-31,1130310
CTL,CenturyLink Inc,Telecommunications Services,Integrated Telecommunications Services,,18926
CERN,Cerner,Health Care,Health Care Distributors,2010-04-30,804753
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,2008-08-27,1324404
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,,316709
CHTR,Charter Communications,Consumer Discretionary,Cable & Satellite,1916-09-08,1091667
CHK,Chesapeake Energy,Energy,Integrated Oil & Gas,,895126
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,,93410
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,2011-04-28,1058090
CB,Chubb Limited,Financials,Property & Casualty Insurance,2010-07-15,896159
CHD,Church & Dwight,Consumer Staples,Household Products,2015-12-29,313927
CI,CIGNA Corp.,Health Care,Managed Health Care,1976-06-30,701221
XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production,2014-06-21,1168054
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,,20286
CTAS,Cintas Corporation,Industrials,Diversified Support Services,,723254
CSCO,Cisco Systems,Information Technology,Networking Equipment,1993-12-01,858877
C,Citigroup Inc.,Financials,Banks,1988-05-31,831001
CFG,Citizens Financial Group,Financials,Banks,1916-01-29,759944
CTXS,Citrix Systems,Information Technology,Internet Software & Services,,877890
CLX,The Clorox Company,Consumer Staples,Household Products,1969-03-31,21076
CME,CME Group Inc.,Financials,Financial Exchanges & Data,,1156375
CMS,CMS Energy,Utilities,MultiUtilities,,811156
COH,Coach Inc.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",,1116132
KO,Coca Cola Company,Consumer Staples,Soft Drinks,,21344
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,,1058290
CL,Colgate-Palmolive,Consumer Staples,Household Products,,21665
CMCSA,Comcast A Corp,Consumer Discretionary,Cable & Satellite,2015-09-18,1166691
CMA,Comerica Inc.,Financials,Regional Banks,,28412
CAG,ConAgra Foods Inc.,Consumer Staples,Packaged Foods & Meats,1983-08-31,23217
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,1916-02-22,1358071
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,,1163165
ED,Consolidated Edison,Utilities,Electric Utilities,,1047862
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,,16918
GLW,Corning Inc.,Industrials,Construction & Engineering,,24741
COST,Costco Co.,Consumer Staples,Hypermarkets & Super Centers,1993-10-01,909832
